Campaign,Ad Group,Status,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2,Max CPC
Search - Brand Terms,CRM Software,Enabled,Best CRM for Small Business,Start Your Free Trial Today,Get Started in Minutes,"Transform your sales process with our intuitive CRM. Trusted by 50,000+ businesses worldwide.",Free trial. No credit card required. Cancel anytime. 24/7 support included.,https://example-crm.com/trial,trial,get-started,0.5
Search - Competitor Terms,Marketing Tools,Enabled,AI-Powered Sales Platform,No Credit Card Required,Used by Industry Leaders,"Automate your marketing and boost ROI by 3x. Easy setup, powerful results.",Join thousands of happy customers. Rated 4.9/5 stars. Get started today.,https://marketing-automation.io/demo,demo,free-trial,0.75
Search - Generic Software,Sales Automation,Enabled,Grow Revenue by 40%,Cancel Anytime,5-Star Customer Reviews,Manage projects efficiently with real-time collaboration. Try it free for 14 days.,Integrates with all major platforms. Easy migration. Expert support team.,https://project-mgmt.com/signup,signup,learn-more,1.0
Search - B2B SaaS,Analytics Platform,Enabled,Free 14-Day Trial,24/7 Customer Support,Money-Back Guarantee,Store and share files securely in the cloud. Enterprise-grade security included.,SOC 2 certified. GDPR compliant. Bank-level encryption. Your data is safe.,https://cloud-storage.com/business,pricing,contact,1.25
Display - Remarketing,Project Management,Enabled,Trusted by 50K+ Companies,SOC 2 Certified,Live Demo Available,Host HD video meetings with up to 500 participants. Crystal clear audio and video.,Mobile apps for iOS and Android. Work from anywhere. Offline mode available.,https://video-meetings.com/free-trial,features,about,1.5
Search - Brand Terms,Cloud Storage,Enabled,Marketing Automation,Integrates with 1000+ Apps,Expert Onboarding,Create stunning email campaigns in minutes. Advanced analytics and A/B testing.,Free trial. No credit card required. Cancel anytime. 24/7 support included.,https://email-platform.io/features,trial,get-started,2.0
Search - Competitor Terms,Video Conferencing,Enabled,Project Management Software,Mobile App Included,No Setup Fees,Schedule and analyze social media posts. Save 10 hours per week on social management.,Join thousands of happy customers. Rated 4.9/5 stars. Get started today.,https://social-media-tools.com/start,demo,free-trial,2.5
Search - Generic Software,Email Marketing,Enabled,Secure Cloud Storage,Advanced Analytics,Scale with Your Business,Simplify your accounting with automated workflows. Perfect for small businesses.,Integrates with all major platforms. Easy migration. Expert support team.,https://accounting-software.io/small-business,signup,learn-more,3.0
Search - B2B SaaS,Social Media Tools,Enabled,HD Video Calls,Team Collaboration,Award-Winning Platform,Track KPIs and visualize data with beautiful dashboards. Real-time insights.,SOC 2 certified. GDPR compliant. Bank-level encryption. Your data is safe.,https://analytics-platform.com/demo,pricing,contact,0.5
Display - Remarketing,Accounting Software,Enabled,Email Marketing Made Easy,Affordable Pricing,Join 100K+ Happy Customers,Streamline HR processes from hiring to offboarding. All-in-one platform.,Mobile apps for iOS and Android. Work from anywhere. Offline mode available.,https://hr-software.io/trial,features,about,0.75
