Campaign,Ad Group,Headline,Description,Final URL,Path 1,Path 2
Summer Sale 2025,Shoes,Quality Running Shoes,Premium running shoes for athletes. Free shipping on all orders over $50.,https://sportsgear.com/running-shoes,shoes,running
Summer Sale 2025,Shoes,Athletic Footwear Sale,Save on top athletic brands. Shop our summer collection today.,https://sportsgear.com/athletic,athletic,sale
Summer Sale 2025,Apparel,Summer Clothing Deals,Lightweight breathable clothing for summer activities. Shop now.,https://sportsgear.com/summer,clothing,summer
Back to School,Supplies,School Supply Essentials,Quality notebooks pencils and backpacks for students.,https://school-supplies.com/essentials,school,supplies
Back to School,Supplies,Student Discount Program,Save 20% on all school supplies with student ID.,https://school-supplies.com/student-discount,student,discount
Tech Products,Laptops,Professional Business Laptops,High-performance laptops for professionals. Free tech support.,https://techstore.com/laptops,business,laptops
Tech Products,Laptops,Student Laptop Deals,Affordable laptops perfect for students and coursework.,https://techstore.com/student-laptops,student,tech
Tech Products,Phones,Latest Smartphone Models,Shop the newest smartphones with cutting-edge features.,https://techstore.com/smartphones,phones,new
Tech Products,Tablets,Tablets for Work and Play,Versatile tablets for productivity and entertainment.,https://techstore.com/tablets,tablets,work
Holiday Gifts,Electronics,Electronics Gift Guide,Find the perfect tech gift for everyone on your list.,https://giftshop.com/electronics,gifts,electronics
Holiday Gifts,Home,Home Decor Gifts,Beautiful home decor items for the holiday season.,https://giftshop.com/home-decor,home,decor
Holiday Gifts,Toys,Educational Toys for Kids,Fun educational toys that inspire learning and creativity.,https://giftshop.com/educational-toys,toys,kids
Outdoor Adventure,Camping,Camping Equipment Sale,Quality tents sleeping bags and camping gear for adventurers.,https://outdoors.com/camping,camping,gear
Outdoor Adventure,Hiking,Hiking Boots and Gear,Durable hiking boots and accessories for trail enthusiasts.,https://outdoors.com/hiking,hiking,boots
Outdoor Adventure,Fishing,Fishing Equipment Deals,Rods reels and tackle for fishing enthusiasts.,https://outdoors.com/fishing,fishing,equipment
Pet Products,Dog Food,Premium Dog Food Brands,Nutritious dog food from trusted brands. Vet approved.,https://petstore.com/dog-food,dogs,food
Pet Products,Cat Food,Quality Cat Food Selection,Healthy cat food options for all life stages.,https://petstore.com/cat-food,cats,food
Pet Products,Pet Toys,Interactive Pet Toys,Engaging toys to keep your pets active and happy.,https://petstore.com/toys,pets,toys
Home Improvement,Tools,Power Tools for DIY,Professional-grade tools for home improvement projects.,https://hardware.com/power-tools,tools,diy
Home Improvement,Paint,Interior Paint Selection,Quality paints in hundreds of colors for your home.,https://hardware.com/paint,paint,interior
Home Improvement,Flooring,Hardwood Flooring Options,Beautiful hardwood flooring for any room in your home.,https://hardware.com/flooring,flooring,hardwood
Fitness Equipment,Weights,Free Weights and Dumbbells,Build strength with quality free weights and dumbbells.,https://fitness-gear.com/weights,weights,strength
Fitness Equipment,Cardio,Cardio Equipment Sale,Treadmills bikes and ellipticals for home workouts.,https://fitness-gear.com/cardio,cardio,exercise
Fitness Equipment,Yoga,Yoga Mats and Accessories,Non-slip yoga mats and props for your practice.,https://fitness-gear.com/yoga,yoga,mats
Kitchen Essentials,Cookware,Professional Cookware Sets,Durable cookware sets for home chefs.,https://kitchen-store.com/cookware,cookware,sets
Kitchen Essentials,Appliances,Small Kitchen Appliances,Time-saving appliances for modern kitchens.,https://kitchen-store.com/appliances,appliances,kitchen
Kitchen Essentials,Bakeware,Baking Pans and Tools,Essential bakeware for home bakers.,https://kitchen-store.com/bakeware,baking,tools
Baby Products,Clothing,Baby Clothing Essentials,Soft comfortable clothing for infants and toddlers.,https://baby-store.com/clothing,baby,clothing
Baby Products,Nursery,Nursery Furniture Sale,Quality cribs changing tables and nursery furniture.,https://baby-store.com/nursery,nursery,furniture
Baby Products,Toys,Safe Baby Toys,Age-appropriate toys that promote development.,https://baby-store.com/toys,baby,toys
