Campaign Name,Ad Name,Status,Video URL,Intro Text,Landing Page URL,Call to Action,Daily Budget,Total Budget,Thumbnail URL
LinkedIn Video - Awareness,LinkedIn Video Ad 1,ACTIVE,https://video.talentflow.com/enterprise/demo-1.mp4,Discover how leading enterprises are revolutionizing their hiring process with AI-powered recruitment. See real results from Fortune 500 companies.,https://talentflow.com/enterprise,LEARN_MORE,75,6000,https://cdn.talentflow.com/enterprise/thumbnail-1.jpg
LinkedIn Video - Consideration,LinkedIn Video Ad 2,ACTIVE,https://video.securecloud.com/business/demo-2.mp4,"See why 10,000+ businesses trust our enterprise cloud security platform. SOC 2 certified, GDPR compliant, 99.99% uptime SLA.",https://securecloud.com/business,CONTACT_US,50,6000,https://cdn.securecloud.com/business/thumbnail-2.jpg
LinkedIn Video - Conversion,LinkedIn Video Ad 3,ACTIVE,https://video.datasync.com/platform/demo-3.mp4,"Learn how our data integration platform helps companies connect 500+ applications seamlessly. No-code solution, real-time sync.",https://datasync.com/platform,DOWNLOAD,200,2250,https://cdn.datasync.com/platform/thumbnail-3.jpg
LinkedIn Video - Retargeting,LinkedIn Video Ad 4,ACTIVE,https://video.salesai.com/demo/demo-4.mp4,Watch how AI is transforming B2B sales. Our platform helped customers increase revenue by 45% on average in the first year.,https://salesai.com/demo,REQUEST_DEMO,200,3000,https://cdn.salesai.com/demo/thumbnail-4.jpg
LinkedIn Video - Awareness,LinkedIn Video Ad 5,ACTIVE,https://video.teamhub.com/teams/demo-5.mp4,"See how global teams collaborate in real-time with our enterprise workspace platform. Used by 5,000+ distributed teams worldwide.",https://teamhub.com/teams,CONTACT_US,200,4500,https://cdn.teamhub.com/teams/thumbnail-5.jpg
LinkedIn Video - Consideration,LinkedIn Video Ad 6,ACTIVE,https://video.financeos.com/cfo/demo-6.mp4,"Discover why CFOs at growth companies choose our financial operations platform. Automated reporting, forecasting, and compliance.",https://financeos.com/cfo,REGISTER,100,1500,https://cdn.financeos.com/cfo/thumbnail-6.jpg
LinkedIn Video - Conversion,LinkedIn Video Ad 7,ACTIVE,https://video.leadgenpro.com/marketing/demo-7.mp4,Learn how marketing teams generate 10x more qualified leads with our B2B lead generation platform. ROI guaranteed.,https://leadgenpro.com/marketing,REQUEST_DEMO,75,1500,https://cdn.leadgenpro.com/marketing/thumbnail-7.jpg
LinkedIn Video - Retargeting,LinkedIn Video Ad 8,ACTIVE,https://video.cybershield.com/security/demo-8.mp4,Watch how enterprises protect their data with our advanced cybersecurity platform. Real-time threat detection and response.,https://cybershield.com/security,CONTACT_US,50,3000,https://cdn.cybershield.com/security/thumbnail-8.jpg
LinkedIn Video - Awareness,LinkedIn Video Ad 9,ACTIVE,https://video.talentflow.com/enterprise/demo-9.mp4,Discover how leading enterprises are revolutionizing their hiring process with AI-powered recruitment. See real results from Fortune 500 companies.,https://talentflow.com/enterprise,REGISTER,50,1500,https://cdn.talentflow.com/enterprise/thumbnail-9.jpg
LinkedIn Video - Consideration,LinkedIn Video Ad 10,ACTIVE,https://video.securecloud.com/business/demo-10.mp4,"See why 10,000+ businesses trust our enterprise cloud security platform. SOC 2 certified, GDPR compliant, 99.99% uptime SLA.",https://securecloud.com/business,DOWNLOAD,50,3000,https://cdn.securecloud.com/business/thumbnail-10.jpg
LinkedIn Video - Conversion,LinkedIn Video Ad 11,ACTIVE,https://video.datasync.com/platform/demo-11.mp4,"Learn how our data integration platform helps companies connect 500+ applications seamlessly. No-code solution, real-time sync.",https://datasync.com/platform,LEARN_MORE,200,3000,https://cdn.datasync.com/platform/thumbnail-11.jpg
LinkedIn Video - Retargeting,LinkedIn Video Ad 12,ACTIVE,https://video.salesai.com/demo/demo-12.mp4,Watch how AI is transforming B2B sales. Our platform helped customers increase revenue by 45% on average in the first year.,https://salesai.com/demo,LEARN_MORE,100,4500,https://cdn.salesai.com/demo/thumbnail-12.jpg
LinkedIn Video - Awareness,LinkedIn Video Ad 13,ACTIVE,https://video.teamhub.com/teams/demo-13.mp4,"See how global teams collaborate in real-time with our enterprise workspace platform. Used by 5,000+ distributed teams worldwide.",https://teamhub.com/teams,CONTACT_US,75,2250,https://cdn.teamhub.com/teams/thumbnail-13.jpg
LinkedIn Video - Consideration,LinkedIn Video Ad 14,ACTIVE,https://video.financeos.com/cfo/demo-14.mp4,"Discover why CFOs at growth companies choose our financial operations platform. Automated reporting, forecasting, and compliance.",https://financeos.com/cfo,LEARN_MORE,50,3000,https://cdn.financeos.com/cfo/thumbnail-14.jpg
LinkedIn Video - Conversion,LinkedIn Video Ad 15,ACTIVE,https://video.leadgenpro.com/marketing/demo-15.mp4,Learn how marketing teams generate 10x more qualified leads with our B2B lead generation platform. ROI guaranteed.,https://leadgenpro.com/marketing,CONTACT_US,50,1500,https://cdn.leadgenpro.com/marketing/thumbnail-15.jpg
LinkedIn Video - Retargeting,LinkedIn Video Ad 16,ACTIVE,https://video.cybershield.com/security/demo-16.mp4,Watch how enterprises protect their data with our advanced cybersecurity platform. Real-time threat detection and response.,https://cybershield.com/security,DOWNLOAD,75,3000,https://cdn.cybershield.com/security/thumbnail-16.jpg
LinkedIn Video - Thought Leadership,LinkedIn Video Ad 17,ACTIVE,https://video.analyticsplatform.com/webinar-series.mp4,"In today's rapidly evolving business landscape, data-driven decision making has become absolutely critical for organizations seeking competitive advantage. Our comprehensive analytics platform empowers business leaders to harness the full potential of their data through advanced visualization, predictive modeling, and automated insights generation. Join thousands of enterprises who have already transformed their operations with our award-winning solution.",https://analyticsplatform.com/webinar,REGISTER,100,3000,https://cdn.analyticsplatform.com/thumbnail-webinar.jpg
LinkedIn Video - Product Launch,LinkedIn Video Ad 18,ACTIVE,https://video.hrtech.com/product-launch.mp4,"Transform your HR operations with our all-in-one people management platform. Recruitment, onboarding, performance, payroll.",https://hrtech.com/platform,REQUEST_DEMO,5,150,https://cdn.hrtech.com/thumbnail-platform.jpg
LinkedIn Video - Case Study,LinkedIn Video Ad 19,ACTIVE,,"See how Fortune 500 companies achieve 99.9% customer satisfaction with our enterprise support platform. Real results, real ROI.",https://supportpro.com/case-studies,LEARN_MORE,75,2250,https://cdn.supportpro.com/thumbnail-case-study.jpg
LinkedIn Video - Brand Awareness,LinkedIn Video Ad 20,active,https://video.cloudinfra.com/infrastructure-demo.mp4,"Discover why leading enterprises choose our cloud infrastructure. Scalable, secure, and cost-effective solutions for growing businesses.",https://cloudinfra.com/enterprise,CONTACT_US,100,3000,https://cdn.cloudinfra.com/thumbnail-infra.jpg
