Campaign Name,Ad Set Name,Ad Name,Campaign Status,Primary Text,Headline,Link Description,Website URL,Call to Action
Brand Awareness Q1 2026,Audience: Tech Decision Makers,Ad Variation A01,ACTIVE,"Transform your business with our AI-powered CRM. Join 50,000+ companies seeing 3x ROI. Try it free for 14 days! 🚀",Transform Your Business,Start your free trial today,https://example-crm.com/fb-trial,LEARN_MORE
Lead Generation - Software,Audience: Small Business Owners,Ad Variation B02,ACTIVE,Struggling with project management? Our platform saves teams 10 hours per week. No credit card required to start.,Try Free for 14 Days,No setup fees or contracts,https://project-software.io/fb,SHOP_NOW
App Install Campaign,Audience: Marketing Managers,Ad Variation C03,ACTIVE,"Secure cloud storage that scales with you. Enterprise-grade security, affordable pricing. Start your free trial today.",Join 50K+ Companies,Join thousands of customers,https://cloud-storage.com/business,SIGN_UP
Retargeting - Website Visitors,Audience: Sales Professionals,Ad Variation D04,ACTIVE,"Marketing automation made simple. Create campaigns in minutes, track results in real-time. Free demo available now.",Boost Productivity 40%,Available on all devices,https://marketing-auto.io/demo,DOWNLOAD
Product Launch - New Feature,Audience: C-Suite Executives,Ad Variation E05,ACTIVE,"The CRM built for small business. Easy to use, powerful features, exceptional support. Get started in under 5 minutes.",No Credit Card Needed,24/7 customer support,https://small-biz-crm.com/start,BOOK_NOW
Event Registration,Lookalike: Website Visitors,Ad Variation F06,ACTIVE,Stop wasting time on manual tasks. Automate your workflow and boost productivity by 40%. See it in action today.,Get Started in Minutes,Start your free trial today,https://workflow-tools.io/trial,LEARN_MORE
Free Trial Signups,Interest: Business Software,Ad Variation G07,ACTIVE,Join our free webinar: 'How to Scale Your SaaS Business'. Learn from industry experts. Limited spots available!,Award-Winning Platform,No setup fees or contracts,https://webinar-platform.com/register,SHOP_NOW
E-book Downloads,Interest: Entrepreneurship,Ad Variation H08,ACTIVE,Download our guide: '10 Ways to Improve Customer Retention'. Actionable insights from 500+ businesses. Get it free.,Save 10 Hours Per Week,Join thousands of customers,https://business-guides.io/download,SIGN_UP
Webinar Promotion,Interest: Digital Marketing,Ad Variation I09,ACTIVE,"HD video conferencing for teams of any size. Crystal clear calls, unlimited meetings. Try it free for 30 days.",Free Demo Available,Available on all devices,https://video-calls.com/free,DOWNLOAD
Customer Testimonials,Behavior: Small Business Owners,Ad Variation J10,ACTIVE,"Email marketing that converts. Beautiful templates, advanced analytics, A/B testing. Start your free trial today.",Trusted by Experts,24/7 customer support,https://email-marketing.io/signup,BOOK_NOW
Brand Awareness Q1 2026,Audience: Tech Decision Makers,Ad Variation K11,ACTIVE,"Transform your business with our AI-powered CRM. Join 50,000+ companies seeing 3x ROI. Try it free for 14 days! 🚀",Transform Your Business,Start your free trial today,https://example-crm.com/fb-trial,LEARN_MORE
Lead Generation - Software,Audience: Small Business Owners,Ad Variation L12,ACTIVE,Struggling with project management? Our platform saves teams 10 hours per week. No credit card required to start.,Try Free for 14 Days,No setup fees or contracts,https://project-software.io/fb,SHOP_NOW
App Install Campaign,Audience: Marketing Managers,Ad Variation M13,ACTIVE,"Secure cloud storage that scales with you. Enterprise-grade security, affordable pricing. Start your free trial today.",Join 50K+ Companies,Join thousands of customers,https://cloud-storage.com/business,SIGN_UP
Retargeting - Website Visitors,Audience: Sales Professionals,Ad Variation N14,ACTIVE,"Marketing automation made simple. Create campaigns in minutes, track results in real-time. Free demo available now.",Boost Productivity 40%,Available on all devices,https://marketing-auto.io/demo,DOWNLOAD
Product Launch - New Feature,Audience: C-Suite Executives,Ad Variation O15,ACTIVE,"The CRM built for small business. Easy to use, powerful features, exceptional support. Get started in under 5 minutes.",No Credit Card Needed,24/7 customer support,https://small-biz-crm.com/start,BOOK_NOW
Event Registration,Lookalike: Website Visitors,Ad Variation P16,ACTIVE,Stop wasting time on manual tasks. Automate your workflow and boost productivity by 40%. See it in action today.,Get Started in Minutes,Start your free trial today,https://workflow-tools.io/trial,LEARN_MORE
Free Trial Signups,Interest: Business Software,Ad Variation Q17,ACTIVE,Join our free webinar: 'How to Scale Your SaaS Business'. Learn from industry experts. Limited spots available!,Award-Winning Platform,No setup fees or contracts,https://webinar-platform.com/register,SHOP_NOW
E-book Downloads,Interest: Entrepreneurship,Ad Variation R18,ACTIVE,Download our guide: '10 Ways to Improve Customer Retention'. Actionable insights from 500+ businesses. Get it free.,Save 10 Hours Per Week,Join thousands of customers,https://business-guides.io/download,SIGN_UP
Webinar Promotion,Interest: Digital Marketing,Ad Variation S19,ACTIVE,"HD video conferencing for teams of any size. Crystal clear calls, unlimited meetings. Try it free for 30 days.",Free Demo Available,Available on all devices,https://video-calls.com/free,DOWNLOAD
Customer Testimonials,Behavior: Small Business Owners,Ad Variation T20,ACTIVE,"Email marketing that converts. Beautiful templates, advanced analytics, A/B testing. Start your free trial today.",Trusted by Experts,24/7 customer support,https://email-marketing.io/signup,BOOK_NOW
Brand Awareness Q1 2026,Audience: Tech Decision Makers,Ad Variation U21,ACTIVE,"Transform your business with our AI-powered CRM. Join 50,000+ companies seeing 3x ROI. Try it free for 14 days! 🚀",Transform Your Business,Start your free trial today,https://example-crm.com/fb-trial,LEARN_MORE
Lead Generation - Software,Audience: Small Business Owners,Ad Variation V22,ACTIVE,Struggling with project management? Our platform saves teams 10 hours per week. No credit card required to start.,Try Free for 14 Days,No setup fees or contracts,https://project-software.io/fb,SHOP_NOW
App Install Campaign,Audience: Marketing Managers,Ad Variation W23,ACTIVE,"Secure cloud storage that scales with you. Enterprise-grade security, affordable pricing. Start your free trial today.",Join 50K+ Companies,Join thousands of customers,https://cloud-storage.com/business,SIGN_UP
Retargeting - Website Visitors,Audience: Sales Professionals,Ad Variation X24,ACTIVE,"Marketing automation made simple. Create campaigns in minutes, track results in real-time. Free demo available now.",Boost Productivity 40%,Available on all devices,https://marketing-auto.io/demo,DOWNLOAD
Product Launch - New Feature,Audience: C-Suite Executives,Ad Variation Y25,ACTIVE,"The CRM built for small business. Easy to use, powerful features, exceptional support. Get started in under 5 minutes.",No Credit Card Needed,24/7 customer support,https://small-biz-crm.com/start,BOOK_NOW
Event Registration,Lookalike: Website Visitors,Ad Variation Z26,ACTIVE,Stop wasting time on manual tasks. Automate your workflow and boost productivity by 40%. See it in action today.,Get Started in Minutes,Start your free trial today,https://workflow-tools.io/trial,LEARN_MORE
